DATE,ZONE,MONTH,YEAR,RAIN1,TEMPERATURE1,SPECIES,COUNT,HARASS,Observed1,Season,Temperature,Rain,Observed,HuntingBehaviour,SeasonalBehaviour,Aircraftmovement,LocationRisk,PopulationPerZ,AllPopulation,Likelihood
3/05/2017,3,May,2017,0,22.8,"Kestrel, Nankeen",2,0,2,Autumn,Medium,Low,Medium,Perching,None,Low,Medium,Medium,Medium,Medium
3/05/2017,4,May,2017,0,22.8,"Kestrel, Nankeen",0,1,1,Autumn,Medium,Low,Medium,Perching,None,Low,Medium,Low,Medium,Medium
3/05/2017,7,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Medium,Low,Medium,Low
3/05/2017,8,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Medium,Low,Medium,Low
3/05/2017,9,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Medium,Low,Medium,Low
3/05/2017,10,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Medium,Low,Medium,Low
3/05/2017,11,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Low,Low,Medium,Low
3/05/2017, 1A,May,2017,0,22.8,"Kestrel, Nankeen",0,1,1,Autumn,Medium,Low,Medium,Perching,None,High,High,High,Medium,Medium
3/05/2017, 1B,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,High,High,High,Medium,Medium
3/05/2017, 6A,May,2017,0,22.8,"Kestrel, Nankeen",0,0,0,Autumn,Medium,Low,Low,Perching,None,Low,Medium,Low,Medium,Low
3/05/2017, 6B,May,2017,0,22.8,"Kestrel, Nankeen",4,0,4,Autumn,Medium,Low,High,Perching,None,Low,High,High,Medium,High
4/05/2017,3,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,Low,Medium,Medium,Medium,Low
4/05/2017,4,May,2017,0,20.3,"Kestrel, Nankeen",0,1,1,Autumn,Low,Low,Medium,Perching,None,Low,Medium,Medium,Medium,Medium
4/05/2017,7,May,2017,0,20.3,"Kestrel, Nankeen",1,0,1,Autumn,Low,Low,Medium,Perching,None,Low,Medium,Medium,Medium,Medium
4/05/2017,8,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,Low,Medium,Medium,Medium,Low
4/05/2017,9,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,Low,Medium,Medium,Medium,Low
4/05/2017,10,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,Low,Medium,Medium,Medium,Low
4/05/2017,11,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,Low,Low,Medium,Medium,Low
4/05/2017, 1A,May,2017,0,20.3,"Kestrel, Nankeen",0,0,0,Autumn,Low,Low,Low,Perching,None,High,High,High,Medium,Medium
4/05/2017, 1B,May,2017,0,20.3,"Kestrel, Nankeen",0,1,1,Autumn,Low,Low,Medium,Perching,None,High,High,High,Medium,Medium
