"Egret, Cattle",,,,,,,,,,,,,,,,,,1,1,,,,,1,2,,,,,0,5,,,,,0,8,,,,,0,10,,,,
Date,DayNumber,SolarDayNumber,Strike,DayofYearSin,DayofYearCos,Prev5DaysRain,Rain,Temperature,AirfieldHarassments,Species,ProximityCount,ProximityLikelihood,SolarDayProximityLikelihood,AllCount,AllHarassed,AllObserved,AllHarassments,1_Proximity,1_Count,1_Harassed,1_Observed,1_SpeciesHarassments,1_Harassments,2_Proximity,2_Count,2_Harassed,2_Observed,2_SpeciesHarassments,2_Harassments,5_Proximity,5_Count,5_Harassed,5_Observed,5_SpeciesHarassments,5_Harassments,8_Proximity,8_Count,8_Harassed,8_Observed,8_SpeciesHarassments,8_Harassments,10_Proximity,10_Count,10_Harassed,10_Observed,10_SpeciesHarassments,10_Harassments
01/05/2017,1,304,0,-0.867456355,0.497513289,0,0,20.95,0,"Egret, Cattle",0,3.007884865,2.00068227,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
02/05/2017,2,305,0,-0.858763958,0.512371412,0,0,21.6,0,"Egret, Cattle",0,3.006786702,2.000577924,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
03/05/2017,3,306,0,-0.849817092,0.527077709,0,0,22.8,1,"Egret, Cattle",1,3.005841469,2.000490368,0,1,1,1,1,0,1,1,1,5,2,0,0,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
04/05/2017,4,307,0,-0.840618406,0.541627821,0,0,20.3,0,"Egret, Cattle",0,3.005027873,2.000416803,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,2,5,0,0,0,0,1,8,0,0,0,0,0,10,0,0,0,0,0
05/05/2017,5,308,0,-0.831170626,0.556017437,0,0,19.95,0,"Egret, Cattle",0.5,3.004327585,2.00035491,1,0,1,0,1,0,0,0,0,6,2,1,0,1,0,3,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
06/05/2017,6,309,0,-0.821476553,0.570242293,0.2,0.2,19.8,0,"Egret, Cattle",0,3.003724828,2.000302765,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
07/05/2017,7,310,0,-0.811539059,0.584298174,0.2,0,21.4,0,"Egret, Cattle",0,3.00320602,2.000258769,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,5,0,0,0,0,1,8,0,0,0,0,0,10,0,0,0,0,0
08/05/2017,8,311,0,-0.801361088,0.598180914,0.4,0.2,18.4,0,"Egret, Cattle",0,3.002759469,2.000221594,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
09/05/2017,9,312,0,-0.790945657,0.611886401,5.6,5.2,19.95,0,"Egret, Cattle",0,3.002375114,2.000190136,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,1,5,0,0,0,0,2,8,0,0,0,0,0,10,0,0,0,0,0
10/05/2017,10,313,0,-0.780295851,0.625410573,7.4,1.8,17.85,0,"Egret, Cattle",0,3.002044292,2.000163475,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,1,8,0,0,0,0,0,10,0,0,0,0,2
11/05/2017,11,314,0,-0.769414827,0.638749422,9.8,2.6,19.5,0,"Egret, Cattle",0,3.001759547,2.000140843,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,3
12/05/2017,12,315,0,-0.758305808,0.651898996,9.8,0,19.25,1,"Egret, Cattle",2,3.001514463,2.000121601,2,1,3,1,1,0,1,1,1,7,2,2,0,2,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
