"Ibis, Straw-Necked",,,,,,,,,,,,,,,,,,,1,1,,,,,0,2,,,,,0,5,,,,,0,8,,,,,0,10,,,,
Date,DayNumber,SolarDayNumber,Strike,DayofYearSin,DayofYearCos,Prev5DaysRain,Rain,Temperature,AirfieldHarassments,Species,ProximityCount,NormalisedProximityCount,ProximityLikelihood,DayofYearSinLikelihood,AllCount,AllHarassed,AllObserved,AllHarassments,1_Proximity,1_Count,1_Harassed,1_Observed,1_SpeciesHarassments,1_Harassments,2_Proximity,2_Count,2_Harassed,2_Observed,2_SpeciesHarassments,2_Harassments,5_Proximity,5_Count,5_Harassed,5_Observed,5_SpeciesHarassments,5_Harassments,8_Proximity,8_Count,8_Harassed,8_Observed,8_SpeciesHarassments,8_Harassments,10_Proximity,10_Count,10_Harassed,10_Observed,10_SpeciesHarassments,10_Harassments
01/05/2017,1,0,0,0,1,0,0,20.95,0,"Ibis, Straw-Necked",0,0,0.152920515,0.021089728,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
02/05/2017,2,1,0,0.017213356,0.999851839,0,0,21.6,0,"Ibis, Straw-Necked",0,0,0.157861533,0.023463444,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
03/05/2017,3,2,0,0.034421612,0.999407401,0,0,22.8,0,"Ibis, Straw-Necked",12,0.01980198,0.162897029,0.02605523,52,0,52,40,1,12,0,12,0,5,2,0,0,0,0,1,5,40,0,40,0,0,8,0,0,0,0,0,10,0,0,0,0,0
04/05/2017,4,3,0,0.051619667,0.998666816,0,0,20.3,4,"Ibis, Straw-Necked",65,0.107260726,0.168025924,0.028878061,50,68,118,19,1,0,65,65,3,4,2,35,3,38,1,2,5,15,0,15,0,1,8,0,0,0,0,0,10,0,0,0,0,0
05/05/2017,5,4,0,0.068802427,0.997630305,0,0,19.95,2,"Ibis, Straw-Necked",0,0,0.173246992,0.031944762,5,11,16,2,1,0,0,0,0,6,2,5,11,16,2,3,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
06/05/2017,6,5,0,0.085964799,0.996298175,0.2,0.2,19.8,0,"Ibis, Straw-Necked",0,0,0.178558857,0.035267876,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
07/05/2017,7,6,0,0.103101697,0.99467082,0.2,0,21.4,1,"Ibis, Straw-Necked",0,0,0.183959988,0.03885952,0,41,41,1,1,0,0,0,0,1,2,0,41,41,1,2,5,0,0,0,0,1,8,0,0,0,0,0,10,0,0,0,0,0
08/05/2017,8,7,0,0.120208045,0.992748722,0.4,0.2,18.4,0,"Ibis, Straw-Necked",0,0,0.189448701,0.042731238,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
09/05/2017,9,8,0,0.137278772,0.990532452,5.6,5.2,19.95,1,"Ibis, Straw-Necked",3,0.004950495,0.195023152,0.046893842,3,10,13,10,1,3,0,3,0,5,2,0,0,0,0,1,5,0,10,10,1,2,8,0,0,0,0,0,10,0,0,0,0,0
10/05/2017,10,9,0,0.154308821,0.988022666,7.4,1.8,17.85,0,"Ibis, Straw-Necked",3,0.004950495,0.20068134,0.051357254,25,0,25,22,1,3,0,3,0,0,2,0,0,0,0,1,5,22,0,22,0,1,8,0,0,0,0,0,10,0,0,0,0,2
11/05/2017,11,10,0,0.171293144,0.985220107,9.8,2.6,19.5,4,"Ibis, Straw-Necked",39,0.064356436,0.206421104,0.056130344,0,39,39,4,1,0,39,39,4,12,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,3
