"Kestrel, Nankeen",,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2,,,,,1,5,,,,,1,8,,,,,1,10,,,,
Date,DayNumber,SolarDayNumber,Strike,DayofYearSin,DayofYearCos,Prev5DaysRain,Rain,Temperature,AirfieldHarassments,Species,ProximityCount,DayProximityNormalised,ProximityLikelihood,SolarDayProximityLikelihood,SolarDayProximityNormalisedLikelihood,AllCount,AllHarassed,AllObserved,AllHarassments,1_Proximity,1_Count,1_Harassed,1_Observed,1_SpeciesHarassments,1_Harassments,2_Proximity,2_Count,2_Harassed,2_Observed,2_SpeciesHarassments,2_Harassments,5_Proximity,5_Count,5_Harassed,5_Observed,5_SpeciesHarassments,5_Harassments,8_Proximity,8_Count,8_Harassed,8_Observed,8_SpeciesHarassments,8_Harassments,10_Proximity,10_Count,10_Harassed,10_Observed,10_SpeciesHarassments,10_Harassments
1/05/2017,1,181,0,0.02581844,-0.999666649,0,0,20.95,0,"Kestrel, Nankeen",0,0,10.35537463,8.482814244,1.203387852,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
2/05/2017,2,182,0,0.008606997,-0.999962959,0,0,21.6,0,"Kestrel, Nankeen",0,0,10.38553414,8.484053898,1.203501901,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
3/05/2017,3,183,0,-0.008606997,-0.999962959,0,0,22.8,2,"Kestrel, Nankeen",4.5,0.603217158,10.41223077,8.484053898,1.203501901,6,2,8,2,1,0,1,1,1,5,2,6,1,7,1,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
4/05/2017,4,184,0,-0.02581844,-0.999666649,0,0,20.3,2,"Kestrel, Nankeen",2.325,0.311662198,10.43543272,8.482814244,1.203387852,3,2,5,3,1,0,1,1,1,4,2,1,1,2,1,2,5,1,0,1,0,1,8,1,0,1,0,0,10,0,0,0,0,0
5/05/2017,5,185,0,-0.043022233,-0.999074115,0,0,19.95,4,"Kestrel, Nankeen",4,0.536193029,10.45511231,8.480331293,1.203159226,0,4,4,4,1,0,4,4,4,6,2,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
6/05/2017,6,186,0,-0.060213277,-0.998185534,0.2,0.2,19.8,0,"Kestrel, Nankeen",0,0,10.47124603,8.47659775,1.202814962,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
7/05/2017,7,187,0,-0.077386479,-0.99700117,0.2,0,21.4,1,"Kestrel, Nankeen",1,0.134048257,10.48381457,8.471602659,1.202353463,0,1,1,1,1,0,1,1,1,1,2,0,0,0,0,2,5,0,0,0,0,1,8,0,0,0,0,0,10,0,0,0,0,0
8/05/2017,8,188,1,-0.09453675,-0.995521372,0.4,0.2,18.4,1,"Kestrel, Nankeen",1,0.134048257,10.49280288,8.465331379,1.201772583,0,1,1,1,1,0,1,1,1,4,2,0,0,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
9/05/2017,9,189,0,-0.111659007,-0.99374658,5.6,5.2,19.95,2,"Kestrel, Nankeen",3.2,0.428954424,10.49820018,8.457765561,1.20106962,1,3,4,3,1,0,3,3,2,5,2,0,0,0,0,1,5,1,0,1,0,2,8,0,0,0,0,0,10,0,0,0,0,0
10/05/2017,10,190,0,-0.128748177,-0.99167732,7.4,1.8,17.85,0,"Kestrel, Nankeen",0.9,0.120643432,10.5,8.448883118,1.200241293,3,0,3,2,1,0,0,0,0,0,2,1,0,1,0,1,5,2,0,2,0,1,8,0,0,0,0,0,10,0,0,0,0,2
11/05/2017,11,191,0,-0.145799197,-0.989314204,9.8,2.6,19.5,2,"Kestrel, Nankeen",3,0.402144772,10.49820018,8.438658189,1.199283733,0,3,3,2,1,0,3,3,2,12,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,1,10,0,0,0,0,3
12/05/2017,12,192,0,-0.162807013,-0.986657933,9.8,0,19.25,2,"Kestrel, Nankeen",2,0.268096515,10.49280288,8.427061102,1.198192452,0,2,2,2,1,0,2,2,2,7,2,0,0,0,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
13/05/2017,13,193,0,-0.179766586,-0.983709294,9.6,0,19.8,1,"Kestrel, Nankeen",2.5,0.335120643,10.48381457,8.414058334,1.196962327,1,2,3,1,1,0,2,2,1,8,2,1,0,1,0,1,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
14/05/2017,14,194,0,-0.19667289,-0.98046916,6.6,2.2,19.5,1,"Kestrel, Nankeen",2,0.268096515,10.47124603,8.399612472,1.195587564,1,1,2,1,1,1,1,2,1,2,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
15/05/2017,15,195,0,-0.213520915,-0.976938493,5.8,1,21.25,2,"Kestrel, Nankeen",3.9,0.522788204,10.45511231,8.383682171,1.194061676,5,2,7,4,1,1,1,2,2,7,2,2,1,3,0,1,5,2,0,2,0,0,8,0,0,0,0,0,10,0,0,0,0,0
16/05/2017,16,196,0,-0.23030567,-0.973118337,3.2,0,19.15,1,"Kestrel, Nankeen",0.9,0.120643432,10.43543272,8.366222122,1.192377441,2,1,3,3,1,0,0,0,0,4,2,0,1,1,1,1,5,2,0,2,0,0,8,0,0,0,0,0,10,0,0,0,0,0
17/05/2017,17,197,0,-0.24702218,-0.969009826,3.2,0,18.9,4,"Kestrel, Nankeen",7.4,0.991957105,10.41223077,8.347183022,1.190526874,7,4,11,6,1,3,2,5,4,9,2,2,2,4,0,1,5,2,0,2,0,1,8,0,0,0,0,0,10,0,0,0,0,0
18/05/2017,18,198,0,-0.263665493,-0.964614176,3.2,0,19.7,5,"Kestrel, Nankeen",9.2,1.233243968,10.38553414,8.326511553,1.18850118,3,7,10,6,1,2,7,9,5,13,2,0,0,0,0,0,5,1,0,1,0,0,8,0,0,0,0,0,10,0,0,0,0,0
19/05/2017,19,199,0,-0.280230675,-0.95993269,19.8,18.8,18.95,0,"Kestrel, Nankeen",0,0,10.35537463,8.304150376,1.186290718,0,0,0,0,1,0,0,0,0,9,2,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,0,0,10,0,0,0,0,0
20/05/2017,20,200,0,-0.296712819,-0.954966755,20.8,2,20.75,2,"Kestrel, Nankeen",2,0.268096515,10.32178806,8.280038135,1.183884956,0,2,2,2,1,0,2,2,2,4,2,0,0,0,0,2,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,1
21/05/2017,21,201,0,-0.313107041,-0.949717843,21,0.2,20.95,0,"Kestrel, Nankeen",1.4,0.18766756,10.28481425,8.254109488,1.181272428,3,0,3,2,1,1,0,1,0,2,2,0,0,0,0,0,5,2,0,2,0,0,8,0,0,0,0,0,10,0,0,0,0,0
22/05/2017,22,202,0,-0.329408482,-0.944187509,21.2,0.2,21.1,1,"Kestrel, Nankeen",1.2,0.160857909,10.2444969,8.226295158,1.178440684,1,1,2,1,1,1,0,1,0,0,2,0,0,0,0,0,5,0,1,1,1,1,8,0,0,0,0,1,10,0,0,0,0,0
23/05/2017,23,203,0,-0.345612313,-0.938377392,21.2,0,21.15,1,"Kestrel, Nankeen",1.9,0.254691689,10.20088354,8.196522014,1.17537625,3,1,4,3,1,0,1,1,1,2,2,1,0,1,0,0,5,2,0,2,0,0,8,0,0,0,0,1,10,0,0,0,0,0
24/05/2017,24,204,0,-0.361713731,-0.932289213,2.4,0,21.75,1,"Kestrel, Nankeen",9,1.206434316,10.1540254,8.164713193,1.172064575,10,1,11,1,1,6,1,7,1,1,2,4,0,4,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
25/05/2017,25,205,0,-0.377707965,-0.925924777,0.4,0,19.3,6,"Kestrel, Nankeen",8.9,1.193029491,10.10397734,8.130788258,1.168489997,6,6,12,8,1,2,5,7,5,11,2,2,1,3,1,3,5,2,0,2,0,0,8,0,0,0,0,1,10,0,0,0,0,0
26/05/2017,26,206,0,-0.393590277,-0.91928597,0.2,0,19.9,2,"Kestrel, Nankeen",5.9,0.790884718,10.0507977,8.094663407,1.164635695,7,2,9,4,1,2,2,4,2,5,2,3,0,3,0,0,5,2,0,2,0,0,8,0,0,0,0,0,10,0,0,0,0,0
27/05/2017,27,207,0,-0.409355959,-0.912374758,0,0,19.05,1,"Kestrel, Nankeen",4.7,0.63002681,9.994548267,8.056251741,1.160483657,4,2,6,2,1,2,2,4,1,8,2,1,0,1,0,0,5,1,0,1,0,0,8,0,0,0,0,0,10,0,0,0,0,1
28/05/2017,28,208,0,-0.42500034,-0.90519319,0,0,19.55,0,"Kestrel, Nankeen",1,0.134048257,9.935294061,8.015463595,1.156014654,2,0,2,0,1,0,0,0,0,5,2,2,0,2,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
29/05/2017,29,209,0,-0.440518784,-0.897743394,0,0,19.95,1,"Kestrel, Nankeen",1,0.134048257,9.873103274,7.97220694,1.151208217,0,1,1,1,1,0,1,1,1,1,2,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
30/05/2017,30,210,0,-0.455906694,-0.890027576,0,0,19.05,3,"Kestrel, Nankeen",4.4,0.589812332,9.808047117,7.926387874,1.146042633,2,4,6,5,1,0,4,4,3,6,2,0,0,0,0,0,5,2,0,2,0,0,8,0,0,0,0,0,10,0,0,0,0,0
